repository,language
api-docs,
api_sequelize,JavaScript
app-ideas,
arquitetura-hexagonal,Go
auth,TypeScript
backend-teste,TypeScript
background_Jobs-filas,JavaScript
bank-api,TypeScript
bank-node,JavaScript
Blog,HTML
book-insight,Java
cadastro-produtos,PHP
checkout,Vue
chess-system,Java
clone-home-instagram,CSS
clone-home-netflix,HTML
componentizando-a-aplicacao,TypeScript
couponswebsite,
danielmajor-gatsby,JavaScript
dashgo,TypeScript
desafio_ChakraUI,TypeScript
DevOps,CSS
DevOpsLab-HelloWorld,CSS
dscomerce,Java
dtmoney,TypeScript
dtmoney2023,TypeScript
eloquente-javascript,
exception1-java,
exercicios-javascript,HTML
ex_mon,Elixir
FizzBuzz-elixir,Elixir
flux-redux,JavaScript
free-programming-books,
Full-Stack-Development-with-Spring-Boot-3-and-React-Fourth-Edition,
gitcompare,JavaScript
githubExplorer,TypeScript
gobarber-backend,HTML
gobarber-frontend,TypeScript
gobarber-native,TypeScript
iginite-shop,TypeScript
ignews,TypeScript
ignews2,TypeScript
ignite-purchases,TypeScript
ignite-refactor,
ignite-refactor-class,
ignite-template-reactjs-conceitos-do-react,TypeScript
ignite-template-reactjs-criando-um-hook-de-carrinho-de-compras,TypeScript
ignite-template-reactjs-refactoring-classes-ts,
ignite-web,CSS
initial-node,JavaScript
interface-java,Java
jest,JavaScript
jscangaceiro,
lading_page_robo,CSS
landing-page-strapi,JavaScript
laravel-docs,
modulo01-react-avancado,TypeScript
NativeBase-KitchenSink,JavaScript
nextjs-init,TypeScript
NextLevel,TypeScript
nlw-backend,TypeScript
nlw-frontend,TypeScript
nlw-letmeask,TypeScript
nlw_impulse_study,TypeScript
oministack-backend,JavaScript
oministack-instagram,JavaScript
pagina-de-contato,
pedra_papel_tesoura,Java
pfsense,HTML
php,PHP
pipefy,JavaScript
poke-react,
ProjectAuth,JavaScript
projeto-digital,PHP
projeto-nutri,TypeScript
Projeto-responsive,HTML
Projeto-Strata,CSS
react-webpack,JavaScript
recycler_view,Java
redux,JavaScript
reduxts,TypeScript
refactoring-classes-ts,TypeScript
rocketshoes,JavaScript
spotify,JavaScript
spring-alura,Java
traduz-ai,
twitter,CSS
typeform-clone,TypeScript
typescript-ddd-fullcycle,TypeScript
Vuejs,HTML
waze,JavaScript
webpack,JavaScript
won-games-api,JavaScript
