repository,language
100_days_of_code_python_udemy,Python
adivinhacao_python,Python
Advent_Of_Code_2022,
back-end-java,Java
Calculadora-IMC-Javascript,CSS
ConversorBinario,Java
curso-springboot-ionic,Java
Cursos-Alura-2024,Python
Decida_Por_Mim_python,Python
java-back-end-livro,
Lampada-JS,JavaScript
lets_code_python_basics_santander_coders,Jupyter Notebook
linguagens-utilizadas-empresas,
pi1_jogo_rpg_grupo_10,Java
PI2-LIVRARIA,Java
PI3_TADS_2021-1,Java
PI4_Ecommerce_Backend_PilotoSpring,Java
Projeto-Ecommerce,Java
Semafaro-JS,HTML
simulador_de_dado_python,Python
TaskApp,Java
TaskApp-Frontend,TypeScript
Threads_JAVA,Java
TributePage-Steve-Jobs,HTML
WebScraping_IMDB250,Python
zero-shot-rlhr,
