repository,language
arbalest,Python
baseplate,JavaScript
chef-exhibitor,
chef-zookeeper,
crackle,JavaScript
drogher,C#
dwolla-clojure,Clojure
dwolla-python,Python
ellipsis,JavaScript
galley,Ruby
gauss,JavaScript
graphql-over-http,Shell
graylog2-mongo-es-migrator,Ruby
helmer,JavaScript
lxc-ruby,Ruby
melee,Clojure
mesos_cookbook,Ruby
mono,C#
node-profile,JavaScript
parallelize,C
porpoise,Groovy
presto,Java
raftconsensus.github.io,Python
react-ace,JavaScript
refactor-like-a-scientist,JavaScript
reiff,Jupyter Notebook
riff,JavaScript
roots-pjax,PHP
survivor-analysis-python,Jupyter Notebook
thematic-pjax,PHP
toft,Shell
tools,Shell
upstarts,
zookeeper,Java
